Record Type,Fuel Type,County,Registration Class
VEH ,NONE    ,NASSAU      ,1346
VEH ,PROPANE ,ERIE        ,16
VEH ,COMP N/G,BRONX       ,643
BOAT,PROPANE ,ALBANY      ,1
BOAT,DIESEL  ,WYOMING     ,4
TRL ,GAS     ,SUFFOLK     ,1
TRL ,GAS     ,HAMILTON    ,1
BOAT,NONE    ,NIAGARA     ,47
VEH ,FLEX    ,ESSEX       ,130
VEH ,FLEX    ,TOMPKINS    ,14
VEH ,GAS     ,PUTNAM      ,82679
VEH ,ELECTRIC,WYOMING     ,5
VEH ,NONE    ,LEWIS       ,78
BOAT,GAS     ,YATES       ,2116
BOAT,OTHER   ,CAYUGA      ,10
VEH ,FLEX    ,WASHINGTON  ,18
VEH ,OTHER   ,NIAGARA     ,2
VEH ,NONE    ,CAYUGA      ,250
BOAT,FLEX    ,SUFFOLK     ,60
VEH ,ELECTRIC,ONTARIO     ,82
BOAT,OTHER   ,LEWIS       ,4
BOAT,DIESEL  ,ST LAWRENCE ,24
BOAT,ELECTRIC,ROCKLAND    ,413
VEH ,PROPANE ,TOMPKINS    ,22
VEH ,COMP N/G,RENSSELAER  ,13
BOAT,ELECTRIC,SCHENECTADY ,159
BOAT,NONE    ,DUTCHESS    ,81
BOAT,OTHER   ,WARREN      ,19
BOAT,DIESEL  ,MONROE      ,344
VEH ,GAS     ,RICHMOND    ,270293
BOAT,DIESEL  ,STEUBEN     ,23
TRL ,GAS     ,ALBANY      ,2
BOAT,GAS     ,CLINTON     ,4866
VEH ,PROPANE ,WASHINGTON  ,9
VEH ,NONE    ,WARREN      ,157
VEH ,GAS     ,MADISON     ,49178
VEH ,OTHER   ,DUTCHESS    ,6
TRL ,NONE    ,JEFFERSON   ,17102
BOAT,PROPANE ,SUFFOLK     ,1
BOAT,GAS     ,ORLEANS     ,1536
VEH ,GAS     ,DELAWARE    ,34566
TRL ,NONE    ,SENECA      ,6146
TRL ,NONE    ,BROOME      ,16163
VEH ,ELECTRIC,STEUBEN     ,29
BOAT,FLEX    ,ALBANY      ,7
VEH ,ELECTRIC,MONROE      ,559
VEH ,FLEX    ,ERIE        ,105
VEH ,GAS     ,OTSEGO      ,41744
VEH ,DIESEL  ,SCHENECTADY ,3363
VEH ,GAS     ,OUT-OF-STATE,128993
BOAT,COMP N/G,OUT-OF-STATE,2
VEH ,ELECTRIC,ERIE        ,455
BOAT,NONE    ,HERKIMER    ,11
VEH ,FLEX    ,MONROE      ,111
BOAT,ELECTRIC,ALBANY      ,218
VEH ,FLEX    ,STEUBEN     ,16
VEH ,PROPANE ,ST LAWRENCE ,2
VEH ,OTHER   ,HERKIMER    ,1
VEH ,PROPANE ,ONTARIO     ,10
BOAT,NONE    ,CHENANGO    ,20
VEH ,OTHER   ,CHAUTAUQUA  ,1
VEH ,NONE    ,CHEMUNG     ,137
BOAT,NONE    ,CORTLAND    ,12
VEH ,DIESEL  ,ALBANY      ,14096
BOAT,DIESEL  ,ERIE        ,462
BOAT,OTHER   ,CHEMUNG     ,9
BOAT,FLEX    ,SCHENECTADY ,4
BOAT,GAS     ,RENSSELAER  ,4498
BOAT,NONE    ,CHAUTAUQUA  ,43
TRL ,NONE    ,KINGS       ,2827
BOAT,FLEX    ,ROCKLAND    ,7
VEH ,GAS     ,FULTON      ,38162
VEH ,DIESEL  ,ALLEGANY    ,2665
VEH ,FLEX    ,ONTARIO     ,16
BOAT,ELECTRIC,HAMILTON    ,31
VEH ,NONE    ,ULSTER      ,351
BOAT,ELECTRIC,SUFFOLK     ,488
VEH ,ELECTRIC,WASHINGTON  ,20
BOAT,OTHER   ,ULSTER      ,38
VEH ,FLEX    ,WYOMING     ,18
VEH ,ELECTRIC,ESSEX       ,52
VEH ,ELECTRIC,TOMPKINS    ,152
TRL ,NONE    ,QUEENS      ,5985
BOAT,DIESEL  ,ESSEX       ,37
BOAT,DIESEL  ,TOMPKINS    ,73
VEH ,NONE    ,OSWEGO      ,221
VEH ,NONE    ,FRANKLIN    ,155
BOAT,GAS     ,BRONX       ,1890
TRL ,NONE    ,WAYNE       ,16525
VEH ,PROPANE ,MONROE      ,49
VEH ,COMP N/G,MONTGOMERY  ,2
BOAT,DIESEL  ,WASHINGTON  ,9
BOAT,OTHER   ,OSWEGO      ,21
BOAT,OTHER   ,FRANKLIN    ,8
TRL ,NONE    ,SARATOGA    ,26703
VEH ,PROPANE ,STEUBEN     ,1
VEH ,DIESEL  ,SUFFOLK     ,52871
BOAT,ELECTRIC,ALLEGANY    ,56
VEH ,DIESEL  ,HAMILTON    ,430
VEH ,FLEX    ,ST LAWRENCE ,24
TRL ,NONE    ,NEW YORK    ,1697
BOAT,OTHER   ,CORTLAND    ,3
VEH ,NONE    ,CHENANGO    ,134
TRL ,GAS     ,MONROE      ,2
BOAT,OTHER   ,CHAUTAUQUA  ,16
BOAT,NONE    ,CHEMUNG     ,18
BOAT,OTHER   ,CHENANGO    ,10
BOAT,DIESEL  ,ALBANY      ,83
VEH ,NONE    ,CORTLAND    ,112
VEH ,DIESEL  ,ERIE        ,22265
VEH ,COMP N/G,RICHMOND    ,5
VEH ,FLEX    ,SCHENECTADY ,19
VEH ,GAS     ,RENSSELAER  ,111323
VEH ,NONE    ,CHAUTAUQUA  ,336
TRL ,NONE    ,GREENE      ,6610
VEH ,COMP N/G,OUT-OF-STATE,41
BOAT,ELECTRIC,ERIE        ,295
VEH ,NONE    ,HERKIMER    ,88
BOAT,FLEX    ,MONROE      ,12
VEH ,ELECTRIC,ALBANY      ,479
BOAT,OTHER   ,HERKIMER    ,1
VEH ,DIESEL  ,ESSEX       ,1892
VEH ,DIESEL  ,TOMPKINS    ,2693
BOAT,NONE    ,FRANKLIN    ,20
BOAT,NONE    ,OSWEGO      ,42
VEH ,GAS     ,BRONX       ,288952
VEH ,COMP N/G,WESTCHESTER ,29
VEH ,DIESEL  ,WASHINGTON  ,3291
TRL ,NONE    ,COLUMBIA    ,7696
BOAT,DIESEL  ,SUFFOLK     ,3109
VEH ,ELECTRIC,ALLEGANY    ,11
BOAT,DIESEL  ,HAMILTON    ,2
BOAT,FLEX    ,ST LAWRENCE ,6
VEH ,FLEX    ,ROCKLAND    ,20
BOAT,GAS     ,FULTON      ,3560
BOAT,FLEX    ,ONTARIO     ,5
BOAT,DIESEL  ,ALLEGANY    ,3
VEH ,ELECTRIC,HAMILTON    ,7
BOAT,NONE    ,ULSTER      ,59
VEH ,ELECTRIC,SUFFOLK     ,1620
BOAT,ELECTRIC,WASHINGTON  ,110
VEH ,OTHER   ,ULSTER      ,26
TRL ,NONE    ,GENESEE     ,8954
BOAT,FLEX    ,WYOMING     ,1
TRL ,NONE    ,SCHOHARIE   ,4914
BOAT,ELECTRIC,ESSEX       ,101
BOAT,ELECTRIC,TOMPKINS    ,68
VEH ,PROPANE ,SCHENECTADY ,9
VEH ,COMP N/G,PUTNAM      ,1
VEH ,NONE    ,NIAGARA     ,296
BOAT,FLEX    ,ESSEX       ,2
BOAT,FLEX    ,TOMPKINS    ,3
TRL ,NONE    ,ORANGE      ,19173
BOAT,GAS     ,PUTNAM      ,2504
BOAT,ELECTRIC,WYOMING     ,27
BOAT,NONE    ,LEWIS       ,13
VEH ,GAS     ,YATES       ,16463
BOAT,FLEX    ,WASHINGTON  ,3
TRL ,NONE    ,CATTARAUGUS ,10971
BOAT,OTHER   ,NIAGARA     ,11
VEH ,FLEX    ,SUFFOLK     ,168
BOAT,NONE    ,CAYUGA      ,22
BOAT,ELECTRIC,ONTARIO     ,88
VEH ,FLEX    ,HAMILTON    ,5
VEH ,DIESEL  ,ST LAWRENCE ,4786
VEH ,ELECTRIC,ROCKLAND    ,304
BOAT,DIESEL  ,ROCKLAND    ,162
BOAT,ELECTRIC,ST LAWRENCE ,174
VEH ,FLEX    ,ALLEGANY    ,25
VEH ,DIESEL  ,ONTARIO     ,4985
VEH ,OTHER   ,NASSAU      ,17
TRL ,GAS     ,ESSEX       ,1
VEH ,GAS     ,MONTGOMERY  ,36004
BOAT,GAS     ,WESTCHESTER ,8508
BOAT,NONE    ,NASSAU      ,189
VEH ,DIESEL  ,WYOMING     ,2938
VEH ,PROPANE ,ALBANY      ,40
TRL ,NONE    ,ONONDAGA    ,36326
TRL ,NONE    ,LIVINGSTON  ,10276
TRL ,NONE    ,SCHUYLER    ,3609
VEH ,PROPANE ,ALLEGANY    ,2
TRL ,NONE    ,TIOGA       ,7161
VEH ,GAS     ,ORLEANS     ,26806
BOAT,GAS     ,DELAWARE    ,883
BOAT,ELECTRIC,STEUBEN     ,142
VEH ,FLEX    ,ALBANY      ,1173
BOAT,ELECTRIC,MONROE      ,324
BOAT,FLEX    ,ERIE        ,17
BOAT,GAS     ,OTSEGO      ,1879
BOAT,DIESEL  ,SCHENECTADY ,30
BOAT,GAS     ,OUT-OF-STATE,11030
BOAT,PROPANE ,TOMPKINS    ,2
VEH ,ELECTRIC,SCHENECTADY ,140
VEH ,NONE    ,DUTCHESS    ,322
VEH ,DIESEL  ,MONROE      ,19689
VEH ,OTHER   ,WARREN      ,1
BOAT,GAS     ,RICHMOND    ,2736
TRL ,NONE    ,SULLIVAN    ,8333
TRL ,GAS     ,ERIE        ,2
VEH ,DIESEL  ,STEUBEN     ,4725
VEH ,GAS     ,CLINTON     ,57253
BOAT,NONE    ,WARREN      ,34
BOAT,GAS     ,MADISON     ,3601
VEH ,PROPANE ,HAMILTON    ,1
BOAT,OTHER   ,DUTCHESS    ,29
VEH ,PROPANE ,SUFFOLK     ,114
VEH ,DIESEL  ,ULSTER      ,7631
VEH ,NONE    ,ALLEGANY    ,163
VEH ,COMP N/G,SCHOHARIE   ,3
BOAT,GAS     ,ORANGE      ,5480
TRL ,NONE    ,PUTNAM      ,4971
BOAT,COMP N/G,QUEENS      ,1
VEH ,COMP N/G,GENESEE     ,4
BOAT,FLEX    ,NASSAU      ,38
BOAT,OTHER   ,ALLEGANY    ,6
BOAT,GAS     ,CATTARAUGUS ,2247
BOAT,ELECTRIC,OSWEGO      ,131
BOAT,ELECTRIC,FRANKLIN    ,130
VEH ,DIESEL  ,OSWEGO      ,4825
VEH ,DIESEL  ,FRANKLIN    ,2181
VEH ,OTHER   ,WASHINGTON  ,1
BOAT,NONE    ,ESSEX       ,21
BOAT,NONE    ,TOMPKINS    ,28
VEH ,FLEX    ,NIAGARA     ,24
VEH ,GAS     ,ONEIDA      ,156401
TRL ,NONE    ,WESTCHESTER ,11884
BOAT,OTHER   ,SUFFOLK     ,135
BOAT,OTHER   ,HAMILTON    ,3
VEH ,PROPANE ,DUTCHESS    ,54
VEH ,COMP N/G,COLUMBIA    ,5
VEH ,OTHER   ,TOMPKINS    ,2
VEH ,OTHER   ,ESSEX       ,1
BOAT,NONE    ,WASHINGTON  ,20
BOAT,PROPANE ,WARREN      ,1
VEH ,NONE    ,HAMILTON    ,76
VEH ,NONE    ,SUFFOLK     ,1781
BOAT,ELECTRIC,ULSTER      ,231
BOAT,FLEX    ,CAYUGA      ,4
VEH ,PROPANE ,NIAGARA     ,7
BOAT,GAS     ,LIVINGSTON  ,3119
BOAT,GAS     ,SCHUYLER    ,1275
BOAT,GAS     ,ONONDAGA    ,17297
TRL ,NONE    ,DELAWARE    ,6513
BOAT,GAS     ,TIOGA       ,1727
VEH ,ELECTRIC,CHAUTAUQUA  ,56
VEH ,ELECTRIC,CORTLAND    ,34
VEH ,GAS     ,SENECA      ,22814
BOAT,DIESEL  ,HERKIMER    ,8
VEH ,FLEX    ,DUTCHESS    ,51
BOAT,PROPANE ,LEWIS       ,1
VEH ,GAS     ,BROOME      ,132208
TRL ,NONE    ,OTSEGO      ,7383
BOAT,ELECTRIC,CHEMUNG     ,124
BOAT,FLEX    ,WARREN      ,6
TRL ,NONE    ,OUT-OF-STATE,9342
VEH ,ELECTRIC,CHENANGO    ,8
BOAT,OTHER   ,ALBANY      ,26
BOAT,DIESEL  ,CHENANGO    ,14
VEH ,OTHER   ,ERIE        ,12
VEH ,DIESEL  ,CHEMUNG     ,2515
TRL ,NONE    ,RICHMOND    ,3669
BOAT,GAS     ,SULLIVAN    ,2026
BOAT,NONE    ,ERIE        ,130
VEH ,ELECTRIC,HERKIMER    ,9
BOAT,PROPANE ,NASSAU      ,3
BOAT,DIESEL  ,CORTLAND    ,9
VEH ,NONE    ,ALBANY      ,3461
BOAT,DIESEL  ,CHAUTAUQUA  ,40
VEH ,COMP N/G,NEW YORK    ,339
VEH ,GAS     ,JEFFERSON   ,74577
TRL ,NONE    ,MADISON     ,10526
VEH ,OTHER   ,STEUBEN     ,1
BOAT,GAS     ,NEW YORK    ,3262
BOAT,PROPANE ,OSWEGO      ,1
BOAT,NONE    ,MONROE      ,137
BOAT,DIESEL  ,DUTCHESS    ,128
VEH ,FLEX    ,HERKIMER    ,9
BOAT,NONE    ,STEUBEN     ,35
VEH ,GAS     ,KINGS       ,514327
VEH ,DIESEL  ,WARREN      ,2593
VEH ,OTHER   ,MONROE      ,10
VEH ,FLEX    ,CHENANGO    ,11
BOAT,ELECTRIC,WARREN      ,161
BOAT,GAS     ,GREENE      ,1735
BOAT,OTHER   ,SCHENECTADY ,14
VEH ,ELECTRIC,DUTCHESS    ,256
BOAT,COMP N/G,BROOME      ,1
VEH ,FLEX    ,CORTLAND    ,18
VEH ,FLEX    ,CHAUTAUQUA  ,21
VEH ,COMP N/G,ONONDAGA    ,177
VEH ,COMP N/G,LIVINGSTON  ,1
VEH ,NONE    ,SCHENECTADY ,147
VEH ,COMP N/G,TIOGA       ,2
BOAT,ELECTRIC,CAYUGA      ,48
BOAT,FLEX    ,ULSTER      ,5
BOAT,NONE    ,ONTARIO     ,28
VEH ,PROPANE ,CHENANGO    ,25
VEH ,NONE    ,ROCKLAND    ,311
TRL ,GAS     ,FRANKLIN    ,1
TRL ,GAS     ,OSWEGO      ,1
VEH ,GAS     ,WAYNE       ,70488
BOAT,NONE    ,WYOMING     ,6
VEH ,PROPANE ,CORTLAND    ,4
BOAT,OTHER   ,ROCKLAND    ,36
BOAT,COMP N/G,ONEIDA      ,1
BOAT,ELECTRIC,LEWIS       ,66
VEH ,DIESEL  ,NASSAU      ,26787
BOAT,GAS     ,COLUMBIA    ,2182
VEH ,GAS     ,SARATOGA    ,181168
VEH ,ELECTRIC,NIAGARA     ,88
VEH ,PROPANE ,CHAUTAUQUA  ,7
TRL ,NONE    ,FULTON      ,7923
BOAT,FLEX    ,FRANKLIN    ,2
BOAT,FLEX    ,OSWEGO      ,6
TRL ,GAS     ,ULSTER      ,1
BOAT,DIESEL  ,NIAGARA     ,107
VEH ,DIESEL  ,LEWIS       ,1891
BOAT,ELECTRIC,NASSAU      ,192
VEH ,OTHER   ,ST LAWRENCE ,3
VEH ,COMP N/G,CATTARAUGUS ,36
BOAT,GAS     ,GENESEE     ,1742
BOAT,GAS     ,SCHOHARIE   ,822
BOAT,NONE    ,ST LAWRENCE ,56
VEH ,GAS     ,QUEENS      ,819815
VEH ,DIESEL  ,CAYUGA      ,4071
